datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2020-05-01 00:00:00,62.8,73,0.0,0.02,0.0
2020-05-01 01:00:00,61.3,63,0.0,0.02,0.0
2020-05-01 02:00:00,60.3,76,0.0,0.01,0.0
2020-05-01 03:00:00,59.4,73,0.0,0.01,0.0
2020-05-01 04:00:00,58.8,72,0.0,0.02,0.0
2020-05-01 05:00:00,58.1,76,0.0,0.0,0.0
2020-05-01 06:00:00,57.3,79,0.0,0.0,0.0
2020-05-01 07:00:00,56.7,70,0.0,0.04,69.0
2020-05-01 08:00:00,58.9,58,0.0,0.14,271.0
2020-05-01 09:00:00,62.1,49,0.0,0.29,496.0
2020-05-01 10:00:00,65.6,39,0.0,0.44,701.0
2020-05-01 11:00:00,68.8,32,0.0,0.57,865.0
2020-05-01 12:00:00,71.6,31,0.0,0.65,972.0
2020-05-01 13:00:00,74.0,31,0.0,0.69,1013.0
2020-05-01 14:00:00,75.9,30,0.0,0.68,986.0
2020-05-01 15:00:00,77.1,30,0.0,0.63,893.0
2020-05-01 16:00:00,77.5,30,0.0,0.53,739.0
2020-05-01 17:00:00,77.2,31,0.0,0.4,539.0
2020-05-01 18:00:00,76.1,35,0.0,0.24,322.0
2020-05-01 19:00:00,74.6,54,0.0,0.1,113.0
2020-05-01 20:00:00,71.4,57,0.0,0.04,3.0
2020-05-01 21:00:00,69.0,59,0.0,0.03,0.0
2020-05-01 22:00:00,67.0,59,0.0,0.02,0.0
2020-05-01 23:00:00,65.2,67,0.0,0.02,0.0
2020-05-02 00:00:00,63.9,70,0.0,0.01,0.0
2020-05-02 01:00:00,62.5,78,0.0,0.0,0.0
2020-05-02 02:00:00,61.5,81,0.0,0.0,0.0
2020-05-02 03:00:00,60.4,87,0.0,0.0,0.0
2020-05-02 04:00:00,59.5,89,0.0,0.0,0.0
2020-05-02 05:00:00,58.7,92,0.0,0.0,0.0
2020-05-02 06:00:00,57.9,85,0.0,0.02,0.0
2020-05-02 07:00:00,58.6,82,0.0,0.03,69.0
2020-05-02 08:00:00,61.0,64,0.0,0.14,267.0
2020-05-02 09:00:00,64.6,50,0.0,0.3,488.0
2020-05-02 10:00:00,68.5,39,0.0,0.46,690.0
2020-05-02 11:00:00,72.3,33,0.0,0.58,851.0
2020-05-02 12:00:00,75.7,31,0.0,0.67,957.0
2020-05-02 13:00:00,78.6,29,0.0,0.71,997.0
2020-05-02 14:00:00,80.9,28,0.0,0.69,972.0
2020-05-02 15:00:00,82.4,28,0.0,0.63,879.0
2020-05-02 16:00:00,83.0,28,0.0,0.5,696.0
2020-05-02 17:00:00,82.8,28,0.0,0.35,508.0
2020-05-02 18:00:00,81.6,31,0.0,0.2,304.0
2020-05-02 19:00:00,79.6,40,0.0,0.13,109.0
2020-05-02 20:00:00,76.4,48,0.0,0.07,3.0
2020-05-02 21:00:00,73.9,54,0.0,0.06,0.0
2020-05-02 22:00:00,71.8,60,0.0,0.05,0.0
2020-05-02 23:00:00,70.1,64,0.0,0.03,0.0
2020-05-03 00:00:00,68.6,70,0.0,0.03,0.0
2020-05-03 01:00:00,67.4,75,0.0,0.02,0.0
2020-05-03 02:00:00,66.3,83,0.0,0.0,0.0
2020-05-03 03:00:00,65.2,92,0.0,0.0,0.0
2020-05-03 04:00:00,64.1,95,0.0,0.0,0.0
2020-05-03 05:00:00,63.2,97,0.0,0.0,0.0
2020-05-03 06:00:00,62.5,98,0.0,0.01,0.0
2020-05-03 07:00:00,62.1,91,0.0,0.03,68.0
2020-05-03 08:00:00,64.5,75,0.0,0.15,262.0
2020-05-03 09:00:00,67.8,62,0.0,0.29,456.0
2020-05-03 10:00:00,71.8,46,0.0,0.44,648.0
2020-05-03 11:00:00,75.4,36,0.0,0.53,747.0
2020-05-03 12:00:00,79.0,29,0.0,0.67,904.0
2020-05-03 13:00:00,81.9,27,0.0,0.74,948.0
2020-05-03 14:00:00,83.8,29,0.0,0.71,896.0
2020-05-03 15:00:00,85.1,30,0.0,0.68,851.0
2020-05-03 16:00:00,85.6,30,0.0,0.6,713.0
2020-05-03 17:00:00,84.8,32,0.0,0.48,532.0
2020-05-03 18:00:00,83.1,38,0.0,0.31,314.0
2020-05-03 19:00:00,80.8,49,0.0,0.16,113.0
2020-05-03 20:00:00,78.0,64,0.0,0.07,4.0
2020-05-03 21:00:00,75.6,74,0.0,0.04,0.0
2020-05-03 22:00:00,73.4,82,0.0,0.01,0.0
2020-05-03 23:00:00,71.5,88,0.0,0.0,0.0
2020-05-04 00:00:00,69.9,92,0.0,0.0,0.0
2020-05-04 01:00:00,68.7,94,0.0,0.0,0.0
2020-05-04 02:00:00,67.9,95,0.0,0.0,0.0
2020-05-04 03:00:00,67.2,96,0.0,0.0,0.0
2020-05-04 04:00:00,66.6,96,0.0,0.0,0.0
2020-05-04 05:00:00,65.9,97,0.0,0.0,0.0
2020-05-04 06:00:00,65.3,98,0.0,0.01,0.0
2020-05-04 07:00:00,65.4,94,0.0,0.03,68.0
2020-05-04 08:00:00,67.4,82,0.0,0.15,259.0
